bolt     , bolt_armor_trim_smithing_template
coast    , coast_armor_trim_smithing_template
dune     , dune_armor_trim_smithing_template
eye      , eye_armor_trim_smithing_template
flow     , flow_armor_trim_smithing_template
host     , host_armor_trim_smithing_template
raiser   , raiser_armor_trim_smithing_template
rib      , rib_armor_trim_smithing_template
sentry   , sentry_armor_trim_smithing_template
shaper   , shaper_armor_trim_smithing_template
silence  , silence_armor_trim_smithing_template
snout    , snout_armor_trim_smithing_template
spire    , spire_armor_trim_smithing_template
tide     , tide_armor_trim_smithing_template
vex      , vex_armor_trim_smithing_template
ward     , ward_armor_trim_smithing_template
wayfinder, wayfinder_armor_trim_smithing_template
wild     , wild_armor_trim_smithing_template
